name,name_iata,city,flights,delays,cancelled,early,total_delay_m,flights_mon,delays_mon,total_delay_mon,flights_tue,delays_tue,total_delay_tue,flights_wed,delays_wed,total_delay_wed,flights_thu,delays_thu,total_delay_thu,flights_fri,delays_fri,total_delay_fri,flights_sat,delays_sat,total_delay_sat,flights_sun,delays_sun,total_delay_sun,flights_jan,delays_jan,total_delay_jan,flights_feb,delays_feb,total_delay_feb,flights_mar,delays_mar,total_delay_mar,flights_apr,delays_apr,total_delay_apr,flights_may,delays_may,total_delay_may,flights_jun,delays_jun,total_delay_jun,flights_jul,delays_jul,total_delay_jul,flights_aug,delays_aug,total_delay_aug,flights_sep,delays_sep,total_delay_sep,flights_oct,delays_oct,total_delay_oct,flights_nov,delays_nov,total_delay_nov,flights_dec,delays_dec,total_delay_dec
John F. Kennedy International Airport (New York International Airport),JFK,New York,93811,35299,1922,51006,1335425,13860,5339,215030,13368,4825,190991,13546,4702,157032,13808,5252,203599,13453,5305,177833,12058,4376,164311,13718,5500,226629,8456,3382,115186,7740,3690,173277,8846,3832,179281,8594,3067,121405,8880,2672,100180,8843,3148,120597,9238,3431,124563,9198,3505,118842,8035,2422,73010,0,0,0,7753,2392,68208,8228,3758,140876
Joplin Regional Airport,JLN,Joplin,666,169,33,424,8275,95,30,1468,96,25,1156,96,20,977,96,29,1227,93,25,1251,94,23,1355,96,17,841,62,19,705,56,12,781,62,21,805,60,26,1718,62,26,925,60,16,888,62,15,476,62,9,703,59,7,278,0,0,0,59,7,381,62,11,615
Jamestown Regional Airport,JMS,Jamestown,812,200,59,512,9833,143,43,2630,97,19,356,144,26,1073,144,33,1252,142,39,1541,47,14,1636,95,26,1345,75,29,2382,68,23,742,75,22,976,74,16,964,72,10,306,73,15,627,77,16,548,75,20,593,73,13,628,0,0,0,73,22,1388,77,14,679
Juneau International Airport,JNU,Juneau,4094,1188,49,2729,42887,599,163,4745,598,171,7791,595,151,5137,583,165,6131,578,201,7249,540,161,6356,601,176,5478,303,89,4024,276,76,3111,307,104,3997,300,102,3160,374,91,1651,483,129,4178,523,159,5126,512,151,4688,374,138,5036,0,0,0,316,76,4136,326,73,3780
Kona International Airport at Keahole,KOA,Kailua/Kona,11114,2949,40,7726,67449,1563,426,12631,1464,337,6512,1551,387,7166,1562,450,8405,1658,510,13560,1678,438,10447,1638,401,8728,990,320,6766,906,348,8840,1041,348,6705,946,185,3139,982,207,4559,1125,231,5640,1173,279,4900,1138,364,10763,905,253,5756,0,0,0,921,164,5199,987,250,5182
Ketchikan International Airport,KTN,Ketchikan,2319,664,28,1558,22894,334,92,3314,333,87,3246,333,87,2598,331,101,3584,326,117,4088,328,89,3418,334,91,2646,186,47,1856,168,39,1875,186,62,2534,180,52,1667,217,35,1171,264,79,2235,279,96,3278,270,100,3159,207,67,1433,0,0,0,178,50,1784,184,37,1902
Capital Region International Airport ( Lansing Capital City),LAN,Lansing,1849,443,47,1282,21335,285,70,4241,260,55,2369,277,75,2772,288,62,3287,278,68,2143,200,42,2939,261,71,3584,191,58,3458,179,71,4187,134,28,626,191,31,632,104,23,575,160,36,1973,170,29,1695,148,28,991,153,27,744,0,0,0,208,50,3129,211,62,3325
Laramie Regional Airport,LAR,Laramie,581,110,24,401,4269,96,14,454,96,13,728,96,25,962,96,14,377,93,20,1091,52,9,267,52,15,390,62,8,683,48,12,446,53,6,222,52,7,500,52,2,117,52,9,428,54,15,372,52,9,212,52,11,426,0,0,0,51,13,426,53,18,437
McCarran International Airport,LAS,Las Vegas,133181,56998,936,67577,1763374,19568,8738,296610,19199,8356,241154,19384,8082,229352,19499,8851,277118,19294,8579,252760,16918,6315,196160,19319,8077,270220,11604,4517,131486,10570,4604,144875,12397,5173,161613,12103,5054,137135,12744,5655,171922,12362,6250,223476,12687,6304,211833,12698,5554,192255,12029,3641,86887,0,0,0,11905,4808,121218,12082,5438,180674
Lawton-Fort Sill Regional Airport,LAW,Lawton,1331,300,94,904,15999,191,42,2763,191,42,1799,192,47,2455,191,48,2287,187,42,2307,192,42,2113,187,37,2275,129,35,1581,112,24,1695,124,47,1810,120,38,2433,123,40,2371,120,33,2445,123,12,565,122,22,1079,120,16,619,0,0,0,115,19,758,123,14,643
Los Angeles International Airport,LAX,Los Angeles,194673,81914,2164,98917,2490449,29027,12842,405429,28276,11022,320294,28523,11351,322442,28785,12825,397578,28317,12292,366789,24061,8894,262263,27684,12688,415654,17340,6305,175278,15762,6118,188786,18014,7901,238491,17408,6761,192697,17977,7343,212932,18533,8889,291408,19371,9586,335495,19265,8625,260551,17499,5974,151233,0,0,0,16459,6343,166812,17045,8069,276766
Lubbock Preston Smith International Airport,LBB,Lubbock,4637,1243,162,3043,49467,694,193,7904,676,176,7385,689,213,9003,671,189,6351,671,189,6034,569,132,6370,667,151,6420,472,144,5470,428,130,4156,412,114,3928,435,115,3980,414,152,8143,396,102,3531,423,99,2953,413,91,3112,389,68,3310,0,0,0,424,117,5823,431,111,5061
Arnold Palmer Regional Airport,LBE,Latrobe,1281,432,36,789,19882,183,60,3373,194,66,2822,154,59,2832,199,58,2543,189,66,3257,165,65,2621,197,58,2434,93,36,1300,91,36,1806,110,34,1436,109,37,975,140,39,2001,142,65,3590,146,40,2160,147,62,3737,121,27,942,0,0,0,95,25,781,87,31,1154
Lake Charles Regional Airport,LCH,Lake Charles,1860,365,56,1397,16305,281,48,1577,279,56,3404,279,50,2069,276,58,2135,276,56,2878,214,30,1744,255,67,2498,147,41,1425,169,29,1035,182,48,1244,165,35,1493,169,46,2830,176,53,2560,156,36,1910,175,27,1466,164,14,559,0,0,0,181,13,392,176,23,1391
Blue Grass Airport,LEX,Lexington,5979,1495,170,4063,65130,912,249,12058,915,229,10249,912,209,7846,892,236,10619,886,244,9722,650,135,5641,812,193,8995,505,171,7260,444,148,5969,533,129,5469,604,146,6437,570,109,5078,616,191,9010,611,159,7709,595,127,5781,553,98,3631,0,0,0,488,89,3947,460,128,4839
Lafayette Regional Airport,LFT,Lafayette,5149,1426,126,3391,61371,773,206,8902,751,193,11572,764,207,8734,766,217,8355,757,199,7117,599,174,6304,739,230,10387,488,159,5421,452,127,4722,514,154,6894,509,168,8989,526,185,10338,505,141,6394,473,106,3486,461,105,4330,428,81,2637,0,0,0,390,96,4060,403,104,4100
LaGuardia Airport (Marine Air Terminal),LGA,New York,99605,36336,4531,53822,1530160,15656,5878,289362,15547,5631,269807,15575,5438,223640,15365,5869,243179,15186,6377,249413,9154,2852,93379,13122,4291,161380,9517,3603,138792,8945,4252,188191,10140,4123,187523,9503,3038,98770,9428,2932,145508,9154,3624,173236,9474,3950,186387,9241,3419,129491,8434,2177,75940,0,0,0,7956,2432,87567,7813,2786,118755
Long Beach Airport (Daugherty Field),LGB,Long Beach,8777,2572,60,5782,94848,1293,426,18178,1228,363,12018,1235,337,11302,1289,431,17851,1270,377,12367,1165,259,8634,1297,379,14498,770,173,5972,676,185,9274,760,175,7015,756,183,6225,837,223,7964,865,236,8635,920,280,8415,918,313,11148,784,243,7863,0,0,0,732,247,8102,759,314,14235
Lihue Airport,LIH,Lihue,10545,2611,44,7523,59924,1452,324,9316,1432,268,7209,1440,305,6438,1521,414,9527,1606,513,11114,1564,398,8690,1530,389,7630,957,266,6444,842,266,5588,947,290,6354,902,149,3579,947,186,3362,1040,207,4194,1086,272,6272,1062,354,10454,849,267,5829,0,0,0,913,168,3300,1000,186,4548
Bill and Hillary Clinton National Airport (Adams Field),LIT,Little Rock,10422,3325,267,6304,129770,1566,527,22698,1541,466,17779,1566,520,22205,1564,520,18716,1548,481,17595,1138,341,12099,1499,470,18678,915,306,11618,821,289,9193,978,345,12953,887,224,10315,935,318,14304,1065,408,19726,1057,306,12029,1033,298,12164,958,235,6570,0,0,0,883,295,8558,890,301,12340
Lincoln Airport (Lincoln Municipal),LNK,Lincoln,2636,611,68,1862,27449,398,86,5043,390,88,3430,405,100,3848,394,83,5015,387,91,3363,293,55,2100,369,108,4650,201,43,1907,189,62,2115,234,46,2455,290,45,2138,268,69,2598,210,52,3206,236,49,2102,237,52,2350,303,60,2149,0,0,0,250,70,2547,218,63,3882
Laredo International Airport,LRD,Laredo,2202,452,64,1604,20628,331,71,4112,332,67,2892,335,69,2688,325,60,3046,325,67,2553,248,47,1869,306,71,3468,208,50,1164,184,35,1140,209,67,2509,202,39,2682,202,54,3575,202,56,3182,207,22,474,205,32,1328,197,26,774,0,0,0,196,32,1573,190,39,2227
La Crosse Regional Airport,LSE,La Crosse,1645,289,63,1231,16929,249,48,4887,237,42,1866,242,53,2177,243,44,2617,240,42,1469,203,33,1961,231,27,1952,115,33,2030,110,33,1578,187,29,1296,131,15,1507,113,12,410,161,38,2485,162,24,933,168,31,1639,148,20,1314,0,0,0,164,29,1747,186,25,1990
Lewiston-Nez Perce County Airport,LWS,Lewiston,588,54,0,504,1496,95,14,381,72,6,281,80,4,39,94,6,34,92,8,198,62,4,455,93,12,108,53,2,16,48,4,157,49,5,268,47,2,57,48,6,43,56,2,25,62,1,6,60,5,37,51,2,33,0,0,0,55,11,224,59,14,630
Midland International Airport,MAF,Midland,7527,2131,251,4884,81199,1214,336,14541,1126,309,10433,1181,367,15135,1138,339,11677,1132,311,12384,686,169,6210,1050,300,10819,818,256,10348,754,203,8010,886,255,7911,746,190,6076,701,248,11559,645,239,11121,656,184,6020,647,171,7343,615,96,2470,0,0,0,514,144,4861,545,145,5480
MBS International Airport,MBS,Saginaw,1721,424,67,1196,23123,253,65,5035,264,71,3772,253,73,3713,244,61,2958,239,52,2048,199,40,2413,269,62,3184,163,52,3050,151,55,2752,169,34,1368,200,49,2449,185,34,1326,159,36,2920,147,34,1934,141,29,1529,112,31,1241,0,0,0,144,21,1054,150,49,3500
Kansas City International Airport,MCI,Kansas City,38665,13370,443,22682,428947,5855,2065,75986,5781,1895,60021,5833,1986,66189,5785,2141,67687,5709,2098,62122,4275,1372,38997,5427,1813,57945,3236,1057,33434,2857,1064,31755,3538,1123,32144,3618,1130,33968,3799,1477,53006,3845,1684,63350,3810,1511,48727,3659,1154,35618,3383,848,21468,0,0,0,3516,1053,31110,3404,1269,44367
Orlando International Airport,MCO,Orlando,110982,44056,1118,59641,1600147,15996,6343,233355,15626,6087,223541,15774,6043,215310,15804,6408,258683,15615,6422,229302,16278,6701,237990,15889,6052,201966,10083,3804,124696,9230,3919,133134,11296,4676,158568,10479,3982,132331,10390,3700,124020,10265,4644,214627,10514,4581,185396,9666,4535,197751,8379,2590,81600,0,0,0,9893,3242,94607,10787,4383,153417
Harrisburg International Airport,MDT,Harrisburg,3285,820,66,2247,39588,517,145,8528,506,126,5756,492,119,5072,503,134,8329,493,117,4778,364,68,3172,410,111,3953,292,78,3758,291,87,6216,383,88,3961,301,67,2985,320,76,3614,292,98,4934,280,75,4348,293,67,3235,241,47,1309,0,0,0,325,74,2818,267,63,2410
Chicago Midway International Airport,MDW,Chicago,80886,40841,1959,32318,1129225,12125,5932,204171,12135,6266,180615,12185,6334,176320,11856,6071,162290,11699,6037,149313,9751,4962,132841,11135,5239,123675,6749,3451,95206,6043,3063,77097,7442,3845,95494,7444,3318,79871,7591,3860,108532,7989,4928,159822,8359,4987,159719,7928,4043,111128,7324,2888,68493,0,0,0,6915,2927,69699,7102,3531,104164
Meridian Regional Airport,MEI,Meridian,907,278,14,602,14138,144,54,2491,144,45,1732,144,45,2363,144,36,1826,141,43,2358,94,22,836,96,33,2532,84,26,1322,76,25,1208,84,38,2200,82,25,1113,83,40,3202,82,31,1893,85,17,346,83,15,430,82,13,212,0,0,0,81,23,1028,85,25,1184
Memphis International Airport,MEM,Memphis,14770,4462,345,9358,181136,2276,692,29702,2210,641,28575,2242,676,26726,2236,699,28798,2195,745,27472,1532,407,15970,2079,602,23893,1241,326,13116,1125,368,17623,1344,418,17221,1548,449,18140,1497,476,18463,1324,510,20880,1355,484,20520,1325,389,15108,1337,295,9763,0,0,0,1447,385,14153,1227,362,16149
McAllen-Miller International Airport (McAllen Miller International),MFE,McAllen,3411,825,111,2369,40848,503,124,6840,493,109,3817,519,138,8985,507,130,5932,502,113,4259,421,89,4441,466,122,6574,373,89,3238,343,68,4729,376,101,2659,412,86,4173,409,122,7839,340,116,6666,261,67,3240,257,60,2796,242,45,3092,0,0,0,200,41,1493,198,30,923
Rogue Valley International Airport,MFR,Medford,2476,584,39,1727,30326,367,94,5001,356,97,5379,365,94,4709,357,92,3988,352,76,4272,318,54,2633,361,77,4344,223,58,3464,187,47,2620,213,31,2220,205,35,1754,229,65,3893,210,52,1811,245,40,1865,250,59,2651,238,52,2634,0,0,0,230,45,1595,246,100,5819
Montgomery Regional Airport,MGM,Montgomery,3171,955,54,2036,38208,480,161,6620,486,144,5387,486,136,5344,473,158,5700,468,153,4902,339,79,3981,439,124,6274,282,77,3192,256,73,2736,301,106,3462,288,81,3377,290,88,3563,288,107,4554,292,102,2935,290,74,3028,301,62,2643,0,0,0,292,96,2959,291,89,5759
Manhattan Regional Airport,MHK,Manhattan,1634,325,68,1179,15072,240,48,2685,237,42,1385,237,44,1750,238,49,3298,233,56,2034,219,42,1949,230,44,1971,151,39,1291,133,38,2002,152,40,1781,146,22,1253,149,39,2548,150,31,1633,153,24,1042,155,25,930,148,17,464,0,0,0,144,26,1169,153,24,959
Manchester-Boston Regional Airport,MHT,Manchester,6292,1790,151,4011,63527,939,272,11150,943,281,10528,935,252,7766,921,258,9531,902,237,7872,824,247,9736,828,243,6944,469,153,4869,410,151,4914,623,187,8189,642,143,4478,617,148,4461,603,191,8067,593,188,6134,618,197,7269,608,133,5552,0,0,0,562,146,4600,547,153,4994
Miami International Airport,MIA,Miami,69341,29124,783,36188,1014405,10035,4427,153301,9594,3689,121709,9766,3732,126369,10089,4176,146417,9936,4361,158178,9752,4227,151614,10169,4512,156817,6695,2822,93311,6004,2492,81167,6776,2837,92170,6466,2538,76853,6340,2435,80721,6164,2679,102073,6391,3101,126311,6328,3051,112315,5645,2159,77314,0,0,0,5901,2044,66264,6631,2966,105906
General Mitchell International Airport,MKE,Milwaukee,29825,9141,577,18613,325983,4528,1479,58669,4525,1345,51243,4540,1383,48512,4467,1511,49930,4396,1364,43309,3231,862,29062,4138,1197,45258,2567,896,31964,2340,942,35434,2968,951,31661,2827,786,26155,2803,735,26037,2800,943,37572,2898,858,29272,2758,834,32421,2555,603,19653,0,0,0,2702,750,21993,2607,843,33821
Muskegon County Airport,MKG,Muskegon,667,188,49,401,9381,96,26,1108,96,31,1869,96,29,1148,96,32,1412,93,26,917,94,15,868,96,29,2059,62,15,940,56,26,1493,62,12,719,60,14,920,62,12,399,60,19,1047,62,18,723,62,18,686,60,16,508,0,0,0,60,15,532,61,23,1414
Melbourne International Airport,MLB,Melbourne,1332,387,5,876,14669,195,59,2232,195,61,1814,195,57,2323,200,70,2726,195,53,2807,152,40,1138,200,47,1629,118,25,783,106,30,1162,124,34,682,120,32,1096,115,31,1058,136,52,1981,132,29,1028,132,45,1653,108,28,615,0,0,0,111,25,1575,130,56,3036
Quad City International Airport,MLI,Moline,3777,1081,147,2397,46154,557,161,7997,558,166,8054,543,164,5882,552,172,8386,552,179,6343,456,107,3388,559,132,6104,425,154,6329,395,160,6830,351,106,4262,408,97,3524,311,68,2757,337,117,4849,318,89,3557,317,71,2738,347,67,2633,0,0,0,297,72,4182,271,80,4493
Monroe Regional Airport,MLU,Monroe,2961,806,73,1975,35578,457,135,6824,449,115,7095,456,119,5215,447,124,5486,442,122,3816,308,76,2229,402,115,4913,251,80,3008,229,58,2503,271,101,3454,280,73,3246,277,100,4913,282,87,5141,290,73,3259,286,76,2728,269,43,1249,0,0,0,270,66,3510,256,49,2567
Mammoth Yosemite Airport,MMH,Mammoth Lakes,156,49,16,78,2116,23,6,342,15,1,45,15,3,106,26,7,214,25,11,584,27,11,327,25,10,498,36,11,329,41,10,424,53,17,671,9,3,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,541
Mobile Regional Airport,MOB,Mobile,5018,1366,96,3357,53038,788,228,9841,730,202,8122,760,204,8293,760,222,8908,757,210,6567,525,110,4574,698,190,6733,441,111,4149,410,114,4616,470,165,5239,454,129,5133,466,158,7055,466,127,5748,476,126,3788,466,115,4861,446,98,3321,0,0,0,461,107,4248,462,116,4880
Minot International Airport,MOT,Minot,1850,414,27,1357,20911,283,61,2606,279,64,2334,275,81,5570,277,62,2179,265,46,1981,192,34,1920,279,66,4321,168,56,2523,133,46,1882,134,29,1174,112,26,932,145,28,1135,181,45,2088,218,56,2750,206,26,1460,204,24,826,0,0,0,190,39,3778,159,39,2363
Sawyer International Airport,MQT,Marquette,304,66,8,217,3963,50,16,767,50,7,281,52,9,759,50,12,1220,47,9,694,3,1,47,52,12,195,26,9,416,24,7,414,27,3,91,26,6,780,26,4,16,26,8,193,27,3,187,26,6,82,26,5,255,0,0,0,25,5,463,45,10,1066
Monterey Regional Airport (Monterey Peninsula Airport),MRY,Monterey,2974,758,134,1946,34596,432,130,6640,425,96,4257,425,110,4510,428,113,5219,420,114,5542,405,71,2695,439,124,5733,322,65,3035,289,89,5211,260,74,3239,266,66,1890,262,64,2355,267,66,3412,303,84,4828,308,85,4234,244,52,3151,0,0,0,231,55,1112,222,58,2129
Dane County Regional Airport,MSN,Madison,9135,2076,284,6491,91798,1413,385,17179,1296,287,14833,1358,310,13622,1368,311,14002,1367,300,11664,994,184,7363,1339,299,13135,822,260,11123,788,262,11459,866,197,6248,756,140,6695,850,151,7038,913,264,11335,925,206,8676,881,175,7929,848,123,7367,0,0,0,744,132,5488,742,166,8440
Missoula International Airport,MSO,Missoula,2077,443,19,1500,14320,275,56,1530,321,82,2859,297,49,1514,323,78,1914,292,60,3145,240,37,1715,329,81,1643,137,33,1178,113,20,518,150,24,559,146,18,678,178,22,490,234,50,1683,302,64,2763,283,72,2513,230,37,819,0,0,0,128,38,1244,176,65,1875
Minneapolis-Saint Paul International Airport,MSP,Minneapolis,112117,35188,808,69044,1076758,17052,5614,196177,16631,5151,162697,16940,5398,158331,16758,5770,176734,16474,5242,143024,12418,3243,97287,15844,4770,142508,8903,3134,103329,8217,3128,103481,9946,3098,90886,10018,2682,73220,10485,2938,89719,11365,4130,136926,11814,3929,115664,11622,3433,100227,10138,2569,70313,0,0,0,9826,2796,84462,9783,3351,108531
Louis Armstrong New Orleans International Airport,MSY,New Orleans,38804,13433,411,22778,442122,5784,2087,77766,5720,1841,62983,5782,1878,62136,5710,2181,72652,5619,1985,61507,4618,1475,45519,5571,1986,59559,3342,1061,30532,3248,1176,32735,3915,1465,39630,3752,1432,49563,3727,1513,59469,3504,1458,56045,3575,1308,42794,3419,1020,35175,3290,678,17861,0,0,0,3543,1050,31998,3489,1272,46320
Montrose Regional Airport,MTJ,Montrose,1001,249,29,689,11229,123,28,1577,109,28,1227,146,35,1364,127,27,1260,119,25,674,211,65,2957,166,41,2170,166,43,2022,168,57,2621,146,37,2559,22,3,32,1,0,0,86,21,684,124,16,367,97,8,469,41,5,107,0,0,0,26,3,80,124,56,2288
Martha's Vineyard Airport,MVY,Marthas Vineyard,205,111,0,81,5725,32,18,605,25,16,1763,24,12,572,31,16,778,32,16,533,29,14,870,32,19,604,0,0,0,0,0,0,0,0,0,0,0,0,16,10,512,38,16,1282,62,35,1623,62,39,1861,27,11,447,0,0,0,0,0,0,0,0,0
Myrtle Beach International Airport,MYR,Myrtle Beach,4831,1647,98,2924,67035,680,206,9814,684,255,11177,722,264,10244,690,254,10425,665,216,8731,690,228,8362,700,224,8282,266,76,2797,296,100,4124,450,145,6399,482,174,5579,577,202,6765,570,221,11956,589,172,6806,575,237,10807,486,151,5191,0,0,0,298,80,2227,242,89,4384
Albert J. Ellis Airport,OAJ,Jacksonville,1136,297,15,773,15820,182,47,2768,161,46,3317,157,44,2001,177,54,2519,174,40,2715,125,33,1201,160,33,1299,112,23,1162,102,17,1253,94,19,733,102,22,1107,105,21,1241,103,32,1339,105,37,1762,106,32,1101,100,28,1619,0,0,0,109,29,1649,98,37,2854
Oakland International Airport,OAK,Oakland,42316,18951,573,19753,480622,6362,2933,72079,6456,2586,64208,6404,2726,64351,6297,3073,76606,6208,3011,78907,4760,1734,40409,5829,2888,84062,3631,1450,32890,3240,1329,32337,3703,1426,32472,3798,1484,35274,3913,1717,44652,4053,1998,55214,4192,2048,61532,4141,1957,52333,3850,1477,28005,0,0,0,3824,1786,41479,3971,2279,64434
Kahului Airport,OGG,Kahului,20627,6859,126,12821,153054,2956,949,21396,2849,760,14777,2872,841,18029,2938,1050,22916,2983,1180,28357,3067,1057,26183,2962,1022,21396,1919,679,16623,1727,619,15073,1968,781,16289,1828,526,8875,1826,590,13428,1943,638,16014,1987,671,12027,1925,774,19075,1732,546,14434,0,0,0,1786,412,6939,1986,623,14277
Will Rogers World Airport,OKC,Oklahoma City,16144,5024,300,10111,192816,2455,787,33758,2412,687,27868,2362,695,26632,2411,811,26948,2384,806,29870,1839,497,20786,2281,741,26954,1383,396,13381,1246,364,14619,1381,435,17064,1403,424,16374,1413,540,23525,1523,592,25492,1623,551,19390,1582,431,15305,1538,317,8859,0,0,0,1538,475,19744,1514,499,19063
Eppley Airfield,OMA,Omaha,16753,5185,263,10499,186587,2548,775,33759,2459,777,34927,2581,833,31517,2466,834,26308,2464,779,21367,1889,505,14783,2346,682,23926,1543,500,20252,1373,485,20524,1633,448,15201,1599,361,12371,1609,519,14967,1488,564,23637,1571,504,17894,1489,422,14713,1413,400,12115,0,0,0,1478,390,12133,1557,592,22780
Nome Airport,OME,Nome,663,249,27,356,6863,96,35,896,96,36,727,96,40,745,93,34,433,92,39,1188,94,33,1549,96,32,1325,61,14,427,56,19,586,62,33,1102,60,16,324,62,17,300,60,23,670,62,25,599,62,39,791,60,23,470,0,0,0,58,23,1326,60,17,268
Ontario International Airport,ONT,Ontario,17978,6557,182,10120,201923,2704,1061,35440,2664,961,27056,2656,969,28287,2660,1038,33276,2635,1018,30940,2159,632,18109,2500,878,28815,1589,600,18757,1413,518,16576,1557,575,14560,1677,557,15169,1742,642,22644,1693,678,23122,1730,635,20970,1726,621,20094,1661,493,15904,0,0,0,1623,594,13806,1567,644,20321
Chicago O'Hare International Airport,ORD,Chicago,285884,121380,8548,139831,4500684,43011,18762,853428,42457,18220,650459,42820,18147,653924,42481,18298,684981,41840,18155,607560,32847,12510,438527,40428,17288,611805,23484,11632,485739,21812,12054,466720,26129,11610,381730,25805,9522,306757,26871,10543,352870,27591,14264,614878,28223,12973,479347,28149,11604,407388,26163,8616,279274,0,0,0,26078,8873,365802,25579,9689,360179
Norfolk International Airport,ORF,Norfolk,9374,3132,263,5437,115319,1408,477,19841,1384,457,19134,1396,461,15095,1373,463,16521,1355,485,14998,1117,361,14973,1341,428,14757,855,247,8302,774,264,13533,891,279,15181,877,223,8669,824,244,9485,876,355,12163,843,335,10604,882,329,10669,869,260,7000,0,0,0,819,261,8118,864,335,11595
Worcester Regional Airport,ORH,Worcester,663,169,26,459,6866,95,22,852,96,20,1123,95,24,548,96,31,1805,94,30,1116,92,25,912,95,17,510,62,15,529,54,19,691,61,17,446,60,11,396,62,4,220,60,5,298,62,13,765,62,22,1229,60,14,307,0,0,0,60,20,563,60,29,1422
Southwest Oregon Regional Airport (North Bend Municipal),OTH,North Bend,275,110,10,151,5761,48,24,1299,18,8,303,34,13,506,47,20,1000,45,16,1072,17,4,184,66,25,1397,17,10,540,16,7,412,18,6,365,17,7,181,18,10,581,32,5,176,40,18,700,40,18,1130,40,16,351,0,0,0,18,5,439,19,8,886
Ralph Wien Memorial Airport,OTZ,Kotzebue,663,249,22,359,6962,96,50,1260,96,38,911,96,31,581,93,33,704,92,34,828,94,31,1239,96,32,1439,61,20,753,56,20,574,62,33,960,60,11,659,62,14,212,60,19,348,62,22,719,62,28,502,60,28,695,0,0,0,58,30,1297,60,24,243
Barkley Regional Airport,PAH,Paducah,666,139,44,447,7971,96,20,1889,96,18,969,96,29,941,96,21,2128,93,13,405,94,15,745,95,23,894,61,13,796,56,13,1229,62,5,127,60,17,1337,62,15,478,60,11,750,62,15,829,62,19,1090,60,9,312,0,0,0,60,10,329,61,12,694
Plattsburgh International Airport,PBG,Plattsburgh,281,127,2,141,4891,22,8,589,57,26,1322,27,10,286,64,29,935,21,8,159,47,25,769,43,21,831,31,14,358,28,16,850,30,13,394,27,14,475,22,7,235,21,11,514,25,14,256,26,14,504,17,7,352,0,0,0,23,6,166,31,11,787
Palm Beach International Airport,PBI,West Palm Beach,22573,9057,354,12136,336460,3329,1306,49895,3272,1360,54436,3264,1308,47157,3315,1404,56452,3220,1342,46357,2967,1096,39690,3206,1241,42473,2425,937,30850,2261,1064,40818,2660,1244,47369,2326,956,29096,1944,675,21381,1626,627,26923,1682,581,24124,1650,681,26708,1551,508,16307,0,0,0,2023,710,20456,2425,1074,52428
Portland International Airport,PDX,Portland,47085,13880,212,30383,412116,7022,2170,69660,6758,2028,58004,6933,2047,59376,6965,2131,60987,6849,2015,58447,5814,1511,43962,6744,1978,61680,3636,1033,32076,3192,874,26055,3904,1128,34539,3876,1025,30188,4162,1025,31003,4707,1546,48083,5108,1702,49267,5105,1522,43933,4466,1045,26089,0,0,0,4391,1193,34671,4538,1787,56212
Newport News/Williamsburg International Airport,PHF,Newport News,1263,409,27,779,17141,190,58,1872,186,54,2062,186,61,3114,189,57,1977,188,72,3005,143,53,2297,181,54,2814,140,53,1230,103,26,1572,149,61,3288,104,27,987,93,22,596,109,44,1689,118,36,2027,119,39,1734,109,30,1218,0,0,0,113,35,1356,106,36,1444
Philadelphia International Airport,PHL,Philadelphia,66021,24478,1074,37079,846984,9880,3739,126588,9702,3645,143812,9819,3510,118736,9763,3766,136622,9576,3533,113647,7965,2880,93292,9316,3405,114287,5767,2123,73916,5207,2250,74188,6005,2403,83502,5843,2005,59197,6181,2123,76964,6243,2697,114542,6451,2607,82415,6415,2388,81434,6004,1688,56753,0,0,0,5973,1779,51611,5932,2415,92462
Phoenix Sky Harbor International Airport,PHX,Phoenix,146815,59922,902,77558,1602271,21636,8916,248837,20819,8413,219047,21550,8618,210472,21700,9527,251720,21305,8980,250170,18621,7048,177344,21184,8420,244681,13122,5188,138301,11916,5012,136644,14526,6330,141874,13746,5631,135261,13803,5700,140635,13871,6463,199829,14274,6349,197950,13703,5541,169336,12023,3384,79754,0,0,0,12512,4591,107947,13319,5733,154740
General Wayne A. Downing Peoria International Airport,PIA,Peoria,4664,1288,155,3044,55813,689,207,11605,690,177,8072,694,211,9295,693,181,7890,688,196,7170,542,121,4757,668,195,7024,364,130,5579,324,142,6696,446,147,5375,409,103,4442,454,99,4342,383,122,7114,440,117,4197,458,102,3676,477,96,4361,0,0,0,445,88,4116,464,142,5915
Hattiesburg-Laurel Regional Airport,PIB,Hattiesburg-Laurel,573,126,7,366,7178,96,23,1983,96,27,932,96,24,1555,96,18,544,94,18,1144,47,10,299,48,6,721,53,14,907,48,14,533,53,20,703,52,6,345,52,17,1898,52,15,849,54,12,276,52,6,477,52,5,95,0,0,0,51,8,229,54,9,866
Pocatello Regional Airport,PIH,Pocatello,654,72,2,561,4098,101,12,142,102,18,1531,102,12,321,100,10,142,99,8,1071,49,3,12,101,9,879,61,10,1844,52,2,9,58,5,52,56,3,49,57,5,62,56,2,8,58,3,529,70,6,255,76,8,146,0,0,0,54,12,724,56,16,420
Pittsburgh International Airport,PIT,Pittsburgh,24118,7433,388,14971,226128,3656,1171,37478,3581,1075,33928,3631,1054,30702,3613,1183,35852,3574,1094,29584,2775,829,25760,3288,1027,32824,2081,663,20983,1950,732,23262,2320,748,19064,2115,535,15950,2332,677,19114,2314,817,27567,2366,742,25029,2282,712,24514,2082,521,14016,0,0,0,2167,590,15514,2109,696,21115
