name,name_iata,city,flights,delays,cancelled,early,total_delay_m,flights_mon,delays_mon,total_delay_mon,flights_tue,delays_tue,total_delay_tue,flights_wed,delays_wed,total_delay_wed,flights_thu,delays_thu,total_delay_thu,flights_fri,delays_fri,total_delay_fri,flights_sat,delays_sat,total_delay_sat,flights_sun,delays_sun,total_delay_sun,flights_jan,delays_jan,total_delay_jan,flights_feb,delays_feb,total_delay_feb,flights_mar,delays_mar,total_delay_mar,flights_apr,delays_apr,total_delay_apr,flights_may,delays_may,total_delay_may,flights_jun,delays_jun,total_delay_jun,flights_jul,delays_jul,total_delay_jul,flights_aug,delays_aug,total_delay_aug,flights_sep,delays_sep,total_delay_sep,flights_oct,delays_oct,total_delay_oct,flights_nov,delays_nov,total_delay_nov,flights_dec,delays_dec,total_delay_dec
Flagstaff Pulliam Airport,FLG,Flagstaff,1660,338,50,1083,14483,240,52,1922,223,35,1301,241,50,2940,244,56,1536,237,58,3140,227,38,1482,248,49,2162,142,24,1386,124,16,725,137,20,345,123,19,533,153,22,928,173,43,3019,182,42,2232,169,42,1399,145,37,655,0,0,0,152,38,1970,160,35,1291
Fort Lauderdale-Hollywood International Airport,FLL,Ft. Lauderdale,73624,28214,794,40651,974617,10686,4158,155321,10375,3949,141956,10491,3827,135074,10633,4200,140788,10452,4157,133258,10432,3967,130657,10555,3956,137563,7187,2750,79237,6696,2976,103527,7794,3283,112384,6985,2382,73010,6516,2044,71216,6263,2475,101735,6447,2502,92143,6121,2670,103327,5327,1875,67070,0,0,0,6704,2099,55940,7584,3158,115028
Bishop International Airport,FNT,Flint,4746,1098,109,3339,39378,712,177,7302,699,155,6183,697,170,5178,703,157,5421,694,146,3493,566,134,6630,675,159,5171,387,107,3661,353,99,3295,447,87,2693,461,90,3979,484,91,3108,455,116,4383,468,112,3774,465,117,4134,386,62,2010,0,0,0,433,81,2721,407,136,5620
Sioux Falls Regional Airport,FSD,Sioux Falls,5331,1554,154,3426,70968,804,236,14683,797,245,10136,797,215,10272,823,260,11083,782,206,8840,619,170,7849,709,222,8105,608,202,10233,527,227,9533,533,130,4919,517,103,5514,435,111,5134,518,170,8235,487,130,4668,461,124,5907,429,87,3593,0,0,0,450,134,8147,366,136,5085
Fort Smith Regional Airport,FSM,Fort Smith,1971,471,58,1399,23941,297,85,4403,283,63,3083,283,72,2710,292,78,4432,289,68,3965,243,47,2521,284,58,2827,199,63,2593,184,46,2649,204,65,2680,174,49,2287,177,63,3704,173,43,1817,172,30,1240,170,25,973,171,25,1680,0,0,0,169,35,2061,178,27,2257
Fort Wayne International Airport,FWA,Fort Wayne,5261,1366,171,3514,69087,803,219,14399,796,221,12438,807,214,11152,783,215,9731,777,210,9871,565,104,3289,730,183,8207,303,114,4532,370,165,7648,519,139,7834,525,140,6068,540,107,4923,502,139,7613,527,121,7795,529,107,7004,501,92,4422,0,0,0,496,123,6156,449,119,5092
Gillette-Campbell County Airport,GCC,Gillette,997,200,11,700,5989,149,33,771,148,29,936,148,34,1092,148,30,1177,146,27,903,113,23,642,145,24,468,121,30,1375,84,17,263,93,21,495,86,20,601,88,19,339,86,19,789,89,13,321,87,12,240,87,9,161,0,0,0,86,16,556,90,24,849
Garden City Regional Airport,GCK,Garden City,663,132,25,482,7569,96,17,1290,95,20,511,96,14,334,96,22,938,92,13,835,94,24,1540,94,22,2121,62,13,758,56,15,461,62,19,703,60,15,1044,61,20,1758,60,13,465,62,8,799,62,4,139,59,5,225,0,0,0,58,11,197,61,9,1020
Spokane International Airport,GEG,Spokane,9505,2390,49,6652,84374,1474,368,13651,1396,378,13320,1409,369,11417,1395,342,10170,1376,354,15338,1112,253,9314,1343,326,11164,831,231,10477,766,155,6222,909,193,5908,846,166,5873,848,164,4386,903,232,8508,929,272,10500,941,257,9648,828,152,4942,0,0,0,829,237,8075,875,331,9835
Grand Forks International Airport,GFK,Grand Forks,717,135,3,557,5769,112,23,900,87,23,877,98,20,764,102,19,1029,99,16,492,100,14,646,119,20,1061,50,13,785,50,14,631,3,0,0,55,7,148,52,4,363,81,13,536,34,5,98,75,10,258,90,13,417,0,0,0,115,30,1365,112,26,1168
East Texas Regional Airport,GGG,Longview,643,185,28,388,7466,95,31,1083,90,25,604,96,25,842,96,24,946,93,24,1339,77,21,1276,96,35,1376,54,26,610,53,17,409,62,30,1346,60,18,935,62,16,884,60,21,879,61,8,134,60,19,528,55,7,210,0,0,0,56,8,100,60,15,1431
Grand Junction Regional Airport (Walker Field),GJT,Grand Junction,3179,573,39,2476,25411,467,80,3285,447,78,2652,472,83,3584,463,79,3934,460,84,4263,398,77,3575,472,92,4118,279,60,2728,231,40,1720,293,48,2816,275,47,2529,313,61,2549,345,79,3606,289,42,916,295,40,1130,299,40,2152,0,0,0,264,40,1642,296,76,3623
Gainesville Regional Airport,GNV,Gainesville,2683,720,39,1816,32644,411,119,5600,402,107,5835,409,111,5387,397,112,4718,395,110,5384,294,57,1731,375,104,3989,225,50,2915,212,62,3721,269,92,3520,257,73,2880,255,42,1807,244,84,4024,243,65,2404,253,85,3948,249,56,2014,0,0,0,225,48,2033,251,63,3378
Gulfport-Biloxi International Airport,GPT,Gulfport-Biloxi,3605,866,76,2520,33038,536,132,5520,507,119,5847,534,122,5246,532,127,4102,526,128,3867,445,105,3799,525,133,4657,337,73,2308,313,65,1781,387,86,2878,365,89,4378,358,94,3655,348,131,5656,332,87,2348,327,87,3780,299,49,1987,0,0,0,276,53,1685,263,52,2582
Green Bay-Austin Straubel International Airport,GRB,Green Bay,4881,991,151,3600,43298,752,165,7570,720,159,7469,729,134,5414,747,169,6947,743,141,5732,497,69,3161,693,154,7005,365,96,4602,372,97,5663,535,97,4778,436,66,2784,336,59,1992,501,121,6284,545,106,3738,520,103,3213,464,86,3513,0,0,0,443,87,3771,364,73,2960
Central Nebraska Regional Airport,GRI,Grand Island,634,126,23,457,6286,96,21,1585,96,17,521,96,14,655,95,18,388,93,21,914,62,17,1555,96,18,668,61,19,883,56,19,1332,62,13,315,56,7,1054,57,13,403,56,12,533,58,6,219,57,6,393,56,5,166,0,0,0,55,15,650,60,11,338
Killeen-Fort Hood Regional Airport,GRK,Killeen,4033,945,156,2806,46592,614,155,8638,595,124,6423,578,127,5494,601,146,7081,598,142,6723,480,100,4899,567,151,7334,381,111,4433,373,98,4489,398,118,4423,374,88,4052,369,100,5760,378,113,5865,376,68,3025,372,64,3788,344,43,3023,0,0,0,331,63,3122,337,79,4612
Gerald R. Ford International Airport,GRR,Grand Rapids,10845,3021,276,7090,121913,1612,478,19844,1641,453,18716,1624,459,19564,1592,465,17527,1558,445,16512,1311,313,12436,1507,408,17314,1049,414,16709,913,393,14177,1072,298,12896,1042,228,7709,1097,233,10057,978,290,12664,978,264,11117,1009,269,9665,955,220,6601,0,0,0,896,194,10321,856,218,9997
Piedmont Triad International Airport,GSO,Greensboro,6737,1929,256,4246,87938,1083,358,17313,1047,279,15210,1065,284,12072,1035,322,13883,1050,327,16336,592,142,6312,865,217,6812,680,187,8341,638,205,11026,745,214,10882,688,186,8637,682,174,8679,578,203,8286,549,161,8304,559,182,7406,646,139,4872,0,0,0,513,119,6241,459,159,5264
Greenville-Spartanburg International Airport,GSP,Greer,6542,1835,138,4268,65829,995,285,9833,987,253,10077,999,302,11204,982,289,11144,960,299,10161,694,155,5331,925,252,8079,548,180,7043,490,138,4526,623,162,4415,628,167,5222,663,201,8455,611,212,8614,591,149,6364,578,154,5462,566,117,4300,0,0,0,618,160,4875,626,195,6553
